emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,annual_income_joint,verification_income_joint,debt_to_income_joint,delinq_2y,months_since_last_delinq,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,installment,grade,sub_grade,issue_month,loan_status,initial_listing_status,disbursement_method,balance,paid_total,paid_principal,paid_interest,paid_late_fees
Accounting technician,4,TX,RENT,146958,Source Verified,34.28,234779.0,Not Verified,23.37,0,,2009,7,31,10,120268,77820,2,2,,2,1267,7,8,2,5,0,2,3,8265,21,9,6,1,97.5,0,0,medical,individual,17795,36,23.06,523.38,A,E1,Oct-2023,Current,whole,DirectPay,16885.42,17183.42,11508.34,1084.12,48.84
Legal secretary,7,CA,RENT,149243,Verified,24.81,,Verified,23.23,0,,2005,3,20,13,116530,81077,1,4,,1,4859,3,11,12,9,0,2,4,37920,13,1,8,0,97.6,0,0,medical,individual,25483,36,7.32,499.67,E,D1,Oct-2023,Fully Paid,whole,DirectPay,19679.11,5063.87,112.58,4156.08,353.43
"Engineer, energy",2,NC,MORTGAGE,38986,Verified,19.34,,Verified,,0,37.0,1998,7,43,9,114488,53251,2,1,86.0,1,1484,2,14,6,17,1,0,9,24662,4,14,4,4,78.9,0,0,small_business,joint,14666,60,6.41,771.89,B,B2,Mar-2026,Current,fractional,Cash,7917.31,2978.1,11062.31,1756.59,347.39
Best boy,8,TX,MORTGAGE,178371,Verified,16.83,,Not Verified,,1,39.0,1993,8,41,1,119556,3693,2,1,,2,3445,7,7,8,17,1,0,4,31467,20,12,6,1,77.1,0,0,moving,joint,45585,36,16.86,1111.83,D,E1,Jul-2025,Current,whole,DirectPay,32468.85,6750.54,36385.6,2432.24,488.31
Chartered legal executive (England and Wales),8,TX,OWN,137859,Not Verified,18.8,,Source Verified,,0,,1987,0,24,4,267426,178789,2,1,,2,146,3,6,19,9,0,2,6,23556,18,8,0,2,92.7,0,0,moving,individual,48645,36,5.63,1131.28,A,B2,Jun-2025,Current,fractional,Cash,16591.17,5519.92,35985.38,8535.63,128.97
Podiatrist,10,FL,RENT,71843,Not Verified,25.67,166336.0,Not Verified,32.49,1,48.0,2004,2,39,16,143121,104727,1,0,20.0,2,2200,4,1,13,18,1,1,5,49357,3,13,8,3,91.2,0,0,other,joint,33065,36,23.66,688.85,C,C2,Nov-2025,Current,whole,DirectPay,23548.21,7844.64,8607.47,4936.55,324.82
"Education officer, environmental",4,TX,OWN,111416,Source Verified,8.75,,Verified,22.47,0,,2001,7,48,14,181890,177597,0,2,,0,1060,7,12,16,14,0,2,6,21830,3,12,0,3,83.1,0,1,medical,individual,6735,60,15.8,118.16,D,C1,Jan-2026,Current,whole,DirectPay,1983.11,2593.63,4585.92,426.89,84.75
Animal nutritionist,9,CA,RENT,179165,Verified,7.82,,Not Verified,26.4,0,40.0,1991,0,40,13,252289,73991,0,3,,2,1166,3,1,1,19,0,1,6,6014,22,10,9,0,82.1,0,0,small_business,joint,2569,36,22.67,75.56,B,E2,Feb-2026,Current,fractional,Cash,95.95,2113.26,740.26,65.28,261.12
Arts development officer,4,IL,MORTGAGE,175580,Source Verified,23.29,,Not Verified,19.99,0,,1985,2,5,15,207484,190407,1,0,,0,4992,7,12,6,5,1,0,3,34093,23,3,9,2,63.1,0,1,home_improvement,joint,5051,36,23.34,99.04,B,E1,Sep-2025,Late (31-120 days),fractional,DirectPay,3827.88,72.7,469.03,46.47,20.36
Optometrist,0,NC,MORTGAGE,103781,Not Verified,8.91,,Verified,28.94,0,5.0,2008,5,20,23,176319,122172,1,0,,2,851,7,11,17,3,1,0,4,31222,1,13,2,2,85.0,0,0,home_improvement,joint,31124,36,14.01,707.36,A,A2,Sep-2025,Current,whole,Cash,29302.15,12017.06,23932.88,5635.63,97.9
Film/video editor,8,OH,OWN,133940,Verified,5.73,,Not Verified,31.27,1,,2002,8,43,24,110386,28350,2,4,75.0,0,3766,4,6,2,9,1,0,8,29472,17,14,3,0,89.4,0,0,small_business,joint,22491,60,6.91,562.27,E,A1,Oct-2024,Current,whole,DirectPay,7198.24,20141.21,7002.83,48.75,452.69
"Scientist, audiological",9,PA,RENT,84163,Not Verified,24.3,,Not Verified,,0,23.0,1995,4,22,15,15486,9335,0,1,,1,2539,0,12,5,7,1,0,5,23364,8,10,8,1,79.8,0,0,home_improvement,joint,19101,36,17.86,415.24,C,E1,Feb-2026,Current,whole,Cash,17036.12,2800.3,7844.03,890.98,290.65
Chiropractor,8,NJ,OWN,157396,Source Verified,33.33,,Source Verified,35.4,0,,1990,9,48,13,213196,27790,0,4,,2,4175,5,4,10,5,1,2,3,27289,19,4,8,1,89.8,0,0,medical,individual,27731,60,11.65,554.62,B,E1,Jun-2025,Current,whole,DirectPay,4609.32,6012.33,6533.29,5523.08,348.46
Personnel officer,3,IL,RENT,175159,Verified,16.24,216619.0,Not Verified,10.69,0,,1990,4,22,19,21023,1667,0,0,,1,9,7,13,17,13,0,2,4,31703,24,1,5,0,81.4,0,0,vacation,individual,43430,36,5.86,1173.78,B,E2,Jan-2025,Current,whole,Cash,20862.47,42790.97,13089.42,6510.84,196.49
"Pilot, airline",0,IL,RENT,31970,Source Verified,7.54,,Verified,,0,38.0,1997,4,8,1,115570,9702,0,1,,2,1574,1,9,1,3,0,1,5,2384,12,1,5,3,97.8,0,0,home_improvement,joint,8938,36,15.81,151.49,C,E1,Dec-2024,Current,fractional,Cash,5013.66,7835.53,2885.06,239.57,14.39
Minerals surveyor,9,AZ,OWN,69238,Source Verified,33.16,,Verified,32.88,0,,2001,2,14,17,91317,66215,0,1,,1,4300,5,10,10,16,0,2,2,15051,15,9,6,2,96.4,0,0,vacation,joint,3252,60,16.79,66.37,D,E1,Jan-2025,Current,fractional,Cash,451.47,2084.12,473.18,224.82,448.39
Cartographer,10,FL,RENT,126570,Verified,11.89,73624.0,Not Verified,,0,,2006,5,34,11,131465,12314,2,4,,0,2055,0,2,19,15,0,2,5,25954,24,6,9,3,74.6,0,0,debt_consolidation,individual,35434,36,17.68,2214.62,A,A2,May-2023,Current,whole,Cash,13072.09,16389.46,21188.71,259.97,126.22
Photographer,8,TX,RENT,161198,Not Verified,25.47,,Verified,25.78,0,,1994,4,7,9,48638,2531,0,1,,2,4206,5,1,14,8,1,0,2,42940,12,3,9,0,63.6,0,0,medical,joint,7122,60,22.01,145.35,B,E1,May-2024,Current,whole,DirectPay,2403.3,6407.29,3461.61,348.06,249.12
Chief of Staff,1,FL,MORTGAGE,137581,Not Verified,5.3,91427.0,Verified,,0,,1990,6,34,24,126421,2605,1,2,,1,4289,6,10,7,19,0,0,4,7622,6,10,5,3,99.3,0,0,credit_card,individual,5812,60,22.74,141.76,C,D1,Sep-2025,Current,fractional,DirectPay,2472.64,2950.23,1127.11,133.49,305.31
Claims inspector/assessor,7,CA,OWN,67533,Source Verified,42.28,,Source Verified,,0,,1989,7,48,18,57362,21128,1,4,,2,2635,2,2,0,8,1,1,8,47745,8,11,8,4,90.4,0,0,credit_card,individual,3828,60,14.62,182.29,C,A2,Aug-2025,Current,whole,Cash,771.83,626.47,503.05,623.64,332.6
Logistics and distribution manager,2,FL,OWN,150501,Not Verified,28.53,91157.0,Verified,,0,,1992,0,46,20,200279,161359,2,4,,0,2035,5,6,3,6,0,0,3,30173,5,11,6,0,96.3,0,0,small_business,individual,22611,60,11.01,461.45,D,B2,Apr-2024,Current,whole,DirectPay,758.2,12885.78,13791.96,3964.91,171.04
Therapeutic radiographer,5,AZ,RENT,150733,Verified,23.28,,Source Verified,21.17,0,36.0,1996,3,30,13,242604,21103,1,1,,0,1639,3,10,11,12,1,0,4,16382,24,5,7,1,67.3,0,0,debt_consolidation,individual,25710,36,12.2,1117.83,B,D1,Dec-2024,Fully Paid,fractional,DirectPay,19828.75,9626.73,1417.58,397.58,52.12
Dietitian,10,FL,MORTGAGE,159869,Verified,9.53,,Verified,17.14,0,52.0,2011,9,21,11,142717,125085,2,3,,2,1205,7,8,6,6,0,0,1,21256,17,13,5,1,75.9,0,0,small_business,individual,49882,60,13.57,978.08,C,D2,Feb-2026,Current,fractional,DirectPay,653.18,33098.57,7104.63,9588.02,74.33
Writer,0,AZ,OWN,77853,Source Verified,44.87,76737.0,Not Verified,,0,,1988,7,5,8,161878,2759,0,2,,1,1481,2,13,1,1,0,2,7,43949,18,7,7,0,81.1,0,0,home_improvement,individual,26917,60,6.62,897.23,B,A1,Nov-2024,Current,whole,DirectPay,14850.72,6833.92,4223.02,2721.35,297.52
Tour manager,4,CA,RENT,97258,Source Verified,14.53,234466.0,Not Verified,11.35,1,,2013,4,22,2,83506,35911,0,4,,2,4841,6,1,2,12,1,0,8,23591,5,6,8,1,85.3,0,0,home_improvement,individual,41986,36,17.4,736.6,B,A2,Oct-2025,Current,whole,Cash,36152.8,9216.37,32733.87,6547.79,57.12
Clothing/textile technologist,4,OH,RENT,44063,Source Verified,36.99,131994.0,Verified,,0,54.0,2001,8,41,6,192992,160601,1,3,,2,341,4,10,5,8,1,0,1,37954,21,7,9,4,96.0,0,0,debt_consolidation,individual,4106,60,22.0,164.24,E,E2,Apr-2024,Current,fractional,DirectPay,3441.27,1660.39,2532.29,346.58,176.94
IT consultant,2,FL,OWN,63709,Source Verified,35.84,,Not Verified,,0,,1993,7,30,2,63276,58492,0,0,,0,2343,0,0,10,8,1,0,4,26063,7,3,2,1,61.2,0,0,medical,joint,21250,60,6.72,425.0,B,C1,Sep-2025,Late (16-30 days),fractional,DirectPay,16987.59,14762.3,4626.47,2508.48,180.49
"Engineer, biomedical",8,TX,RENT,150995,Not Verified,36.6,172732.0,Source Verified,6.38,0,16.0,2000,5,11,17,46408,29470,2,1,25.0,0,3157,1,6,13,15,0,2,8,22491,9,3,7,1,85.9,0,0,credit_card,individual,6090,36,23.28,203.0,E,C1,Jun-2023,Current,whole,DirectPay,2568.53,4843.63,3629.95,66.85,227.57
Art therapist,9,TX,RENT,173922,Not Verified,28.85,124859.0,Not Verified,,0,15.0,2014,6,17,13,131826,36435,1,2,,2,813,3,12,16,12,0,2,2,32907,10,14,8,3,72.8,0,0,home_improvement,joint,2614,60,5.7,186.71,E,E1,Jan-2024,Current,whole,DirectPay,1928.04,624.16,231.02,185.4,143.62
Occupational psychologist,1,TX,RENT,137573,Not Verified,41.41,,Verified,,0,,1992,4,24,22,253662,167472,0,2,39.0,0,1389,1,10,1,9,0,1,1,6494,3,8,5,4,97.8,0,1,credit_card,individual,42600,60,10.27,1217.14,C,E2,May-2023,Current,whole,DirectPay,2464.1,41283.77,30119.42,7904.45,497.45
"Radiographer, diagnostic",8,FL,OWN,51172,Source Verified,35.33,96542.0,Not Verified,,1,,2008,7,19,6,169903,8906,2,4,29.0,1,913,5,4,15,13,1,0,9,9287,13,1,1,4,98.2,0,0,other,joint,44874,36,12.53,2243.7,A,D1,Nov-2024,Current,fractional,Cash,21565.84,26583.71,29605.39,3121.52,339.01
Public house manager,6,CA,MORTGAGE,124616,Verified,31.34,142241.0,Source Verified,,0,43.0,2013,4,16,7,115228,34130,1,4,,1,1690,0,8,16,8,0,1,5,34088,24,13,2,2,65.2,0,0,vacation,individual,22695,60,20.15,428.21,E,D1,Sep-2025,Current,whole,Cash,17271.53,12284.05,17484.08,1551.76,316.31
Chief Operating Officer,10,TX,OWN,116357,Verified,42.49,137266.0,Source Verified,,0,,2013,9,15,1,93807,46539,1,2,50.0,2,4665,6,9,1,14,1,0,1,9491,4,1,2,4,87.0,0,0,debt_consolidation,joint,28660,36,6.95,1246.09,D,B1,Dec-2023,Current,whole,DirectPay,24481.65,15104.51,18936.71,1710.28,419.97
Patent examiner,2,PA,RENT,103797,Not Verified,39.72,,Verified,27.81,0,5.0,2002,8,19,12,254459,225695,2,3,,1,984,0,12,20,8,0,2,5,34347,14,2,3,2,89.0,0,0,medical,individual,5093,60,7.5,87.81,E,D1,Feb-2026,Current,whole,Cash,4058.09,1498.2,3715.18,985.51,92.73
"Physicist, medical",1,NY,RENT,25526,Not Verified,28.93,207661.0,Verified,,0,,2015,4,42,11,38541,14547,0,0,,0,2043,5,8,7,11,1,2,9,36531,24,9,0,3,78.2,0,0,home_improvement,joint,5224,60,5.02,106.61,B,C1,Nov-2024,Current,whole,Cash,5154.33,744.4,2084.95,645.85,351.23
Town planner,0,OH,RENT,99441,Not Verified,18.06,,Verified,,0,2.0,1990,6,13,6,59153,7368,0,0,,1,715,7,7,17,15,0,2,9,29424,7,11,3,3,92.9,0,0,medical,joint,11127,60,5.19,463.62,C,B2,Apr-2024,Current,whole,Cash,6648.11,8721.7,4280.81,90.69,82.0
"Lecturer, higher education",4,FL,MORTGAGE,61877,Not Verified,28.73,,Not Verified,27.76,2,53.0,2013,6,19,1,120091,2560,2,3,,0,158,1,12,23,5,1,1,3,15612,20,12,7,1,60.8,0,0,credit_card,joint,48026,60,18.77,1600.87,E,D1,Sep-2023,Current,fractional,Cash,41640.05,27791.47,16851.96,6966.24,243.33
"Pharmacist, community",4,TX,MORTGAGE,68585,Verified,21.87,114324.0,Source Verified,22.23,0,,1998,9,43,20,289922,177313,1,0,,2,3928,0,11,1,3,0,0,3,44229,1,8,7,3,74.9,0,0,vacation,individual,28958,36,22.11,517.11,E,D1,Jan-2024,Current,fractional,DirectPay,28084.08,13140.84,5468.44,425.66,84.88
Nutritional therapist,10,OH,OWN,145585,Source Verified,22.24,231180.0,Verified,14.44,0,49.0,1993,4,41,20,255011,236271,1,4,,0,1058,5,4,20,5,0,0,1,15994,19,14,9,3,94.6,0,0,small_business,individual,13083,60,20.75,422.03,A,D1,Jul-2024,Current,whole,Cash,12908.08,12626.65,51.7,2490.51,319.56
Legal executive,1,PA,MORTGAGE,171470,Verified,18.71,,Source Verified,,1,1.0,1994,4,34,18,89141,13115,1,0,,1,3719,6,7,16,12,0,0,4,41062,14,4,0,0,94.7,0,0,moving,joint,8638,36,14.91,319.93,C,E1,Apr-2024,Current,fractional,DirectPay,1863.0,5691.45,2721.76,1125.07,53.3
Clinical psychologist,8,PA,MORTGAGE,61059,Source Verified,6.93,,Not Verified,33.62,0,,1991,3,29,21,15704,12424,2,0,,1,4806,6,4,18,1,0,0,9,9848,3,12,5,1,92.3,0,0,home_improvement,individual,6033,60,23.99,102.25,D,B1,Sep-2023,Current,fractional,DirectPay,3541.74,1016.22,3101.33,916.22,250.22
Herbalist,4,AZ,RENT,47612,Not Verified,38.89,,Not Verified,,0,,1999,3,29,4,233131,32348,2,2,,2,4419,4,12,21,19,1,1,9,3177,4,5,3,2,88.7,0,0,medical,joint,30441,60,23.08,1323.52,D,D2,Oct-2024,Fully Paid,fractional,Cash,28298.13,16202.53,14147.32,545.66,358.82
Landscape architect,6,AZ,MORTGAGE,37289,Source Verified,37.93,246501.0,Verified,23.03,0,7.0,1993,5,30,9,96365,45139,2,1,,1,1660,1,7,23,16,0,1,7,31734,5,4,1,2,85.3,0,0,credit_card,joint,46976,60,23.56,886.34,A,B2,Jun-2025,Current,fractional,Cash,39984.76,31540.85,30422.78,7202.89,74.85
"Scientist, research (medical)",4,FL,RENT,152556,Verified,39.51,144018.0,Verified,,0,14.0,1995,8,43,24,289158,50104,1,2,,1,1125,1,6,12,14,1,0,5,43621,1,4,2,0,99.5,0,0,medical,joint,28160,36,19.0,1083.08,D,D1,Jun-2023,Late (16-30 days),whole,DirectPay,9106.14,6382.64,7997.36,391.0,259.53
Television/film/video producer,4,IL,MORTGAGE,35756,Verified,26.6,,Verified,,0,35.0,2000,0,46,23,175575,74794,0,3,,2,1679,5,12,22,19,1,1,3,42747,5,4,7,3,83.2,0,1,debt_consolidation,individual,4475,60,9.44,135.61,B,B1,Jul-2023,Current,fractional,Cash,1090.36,3005.22,332.69,230.06,393.95
Games developer,5,AZ,RENT,29895,Verified,11.37,133362.0,Not Verified,22.39,0,,1996,8,46,6,128413,17163,1,4,,2,3229,7,9,13,6,0,2,2,7782,20,14,8,4,97.7,0,0,home_improvement,joint,13023,60,14.63,232.55,D,E2,Dec-2024,Fully Paid,fractional,DirectPay,298.15,2002.82,2329.7,2493.44,286.52
"Surveyor, hydrographic",3,NY,OWN,161728,Not Verified,17.55,233260.0,Not Verified,34.8,0,,2013,8,47,2,214894,6901,2,2,,2,1953,1,8,1,11,1,0,6,33552,24,9,6,2,80.2,0,0,vacation,individual,10984,60,14.11,192.7,E,D2,Nov-2023,Current,whole,DirectPay,1874.58,819.73,6877.71,583.0,88.88
Sport and exercise psychologist,5,IL,RENT,148279,Source Verified,30.33,119252.0,Not Verified,13.7,0,,2011,4,25,22,64823,24312,1,4,,1,900,0,12,20,18,0,0,7,45108,21,2,4,4,79.3,0,0,medical,joint,25291,60,16.74,632.27,C,E1,Dec-2024,Current,whole,Cash,1078.24,9393.29,5378.91,3268.05,249.67
Herpetologist,0,NY,RENT,145575,Not Verified,11.0,140353.0,Source Verified,13.86,0,,2005,9,32,11,235019,165433,2,1,,2,2247,0,14,16,13,0,0,3,23223,12,1,6,4,72.6,0,0,home_improvement,individual,31300,36,14.28,601.92,D,D1,Nov-2024,Current,fractional,DirectPay,1497.1,1190.08,18685.03,4125.56,401.07
Advice worker,5,OH,RENT,114570,Verified,25.34,209342.0,Not Verified,,2,,2015,2,12,8,104439,45857,0,0,,1,2993,2,0,3,4,1,0,4,12142,9,9,9,1,90.6,0,0,small_business,individual,37479,60,5.68,1703.59,D,A1,Jan-2025,Current,fractional,DirectPay,12076.31,4693.63,14222.11,854.2,243.01
